等级,单项得分,肺活量,,50米跑,,坐位体前屈,,立定跳远,,一分钟仰卧起坐,,800米跑,
,,"大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四"
优秀,100,3400,3450,7.5,7.4,25.8,26.3,207,208,56,57,3.18,3.16
,95,3350,3400,7.6,7.5,24,24.4,201,202,54,55,3.24,3.22
,90,3300,3350,7.7,7.6,22.2,22.4,195,196,52,53,3.3,3.28
良好,85,3150,3200,8,7.9,20.6,21,188,189,49,50,3.37,3.35
,80,3000,3050,8.3,8.2,19,19.5,181,182,46,47,3.44,3.42
及格,78,2900,2950,8.5,8.4,17.7,18.2,178,179,44,45,3.49,3.47
,76,2800,2850,8.7,8.6,16.4,16.9,175,176,42,43,3.54,3.52
,74,2700,2750,8.9,8.8,15.1,15.6,172,173,40,41,3.59,3.57
,72,2600,2650,9.1,9,13.8,14.3,169,170,38,39,4.04,4.02
,70,2500,2550,9.3,9.2,12.5,13,166,167,36,37,4.09,4.07
,68,2400,2450,9.5,9.4,11.2,11.7,163,164,34,35,4.14,4.12
,66,2300,2350,9.7,9.6,9.9,10.4,160,161,32,33,4.19,4.17
,64,2200,2250,9.9,9.8,8.6,9.1,157,158,30,31,4.24,4.22
,62,2100,2150,10.1,10,7.3,7.8,154,155,28,29,4.29,4.27
,60,2000,2050,10.3,10.2,6,6.5,151,152,26,27,4.34,4.32
不及格,50,1960,2010,10.5,10.4,5.2,5.7,146,147,24,25,4.44,4.42
,40,1920,1970,10.7,10.6,4.4,4.9,141,142,22,23,4.54,4.52
,30,1880,1930,10.9,10.8,3.6,4.1,136,137,20,21,5.04,5.02
,20,1840,1890,11.1,11,2.8,3.3,131,132,18,19,5.14,5.12
,10,1800,1850,11.3,11.2,2,2.5,126,127,16,17,5.24,5.22
