等级,"单项
得分",肺活量,,50米跑,,坐位体前屈,,立定跳远,,引体向上,,1000米跑,
,,"大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四","大一
大二","大三
大四"
优秀,100,5040,5140,6.7,6.6,24.9,25.1,273,275,19,20,3.17,3.15
,95,4920,5020,6.8,6.7,23.1,23.3,268,270,18,19,3.22,3.2
,90,4800,4900,6.9,6.8,21.3,21.5,263,265,17,18,3.27,3.25
良好,85,4550,4650,7,6.9,19.5,19.9,256,258,16,17,3.34,3.32
,80,4300,4400,7.1,7,17.7,18.2,248,250,15,16,3.42,3.4
及格,78,4180,4280,7.3,7.2,16.3,16.8,244,246,,,3.47,3.45
,76,4060,4160,7.5,7.4,14.9,15.4,240,242,14,15,3.52,3.5
,74,3940,4040,7.7,7.6,13.5,14,236,238,,,3.57,3.55
,72,3820,3920,7.9,7.8,12.1,12.6,232,234,13,14,4.02,4
,70,3700,3800,8.1,8,10.7,11.2,228,230,,,4.07,4.05
,68,3580,3680,8.3,8.2,9.3,9.8,224,226,12,13,4.12,4.1
,66,3460,3560,8.5,8.4,7.9,8.4,220,222,,,4.17,4.15
,64,3340,3440,8.7,8.6,6.5,7,216,218,11,12,4.22,4.2
,62,3220,3320,8.9,8.8,5.1,5.6,212,214,,,4.27,4.25
,60,3100,3200,9.1,9,3.7,4.2,208,210,10,11,4.32,4.3
不及格,50,2940,3030,9.3,9.2,2.7,3.2,203,205,9,10,4.52,4.5
,40,2780,2860,9.5,9.4,1.7,2.2,198,200,8,9,5.12,5.1
,30,2620,2690,9.7,9.6,0.7,1.2,193,195,7,8,5.32,5.3
,20,2460,2520,9.9,9.8,-0.3,0.2,188,190,6,7,5.52,5.5
,10,2300,2350,10.1,10,-1.3,-0.8,183,185,5,6,6.12,6.1
